platform,subject,minutes,n_loops,missing,age,gender-categorical,gender-free-response,ethnicity,race,language,fluency,prolific,prolific-this-study
mturk,borpj9kwayuoawc2db7wbyxj,6.0,1,0,27,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,cdbeog6cjz4lt4fk2fsw9a6d,9.8,1,0,44,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,ctnvg9z0u302ddk5abjypszu,9.8,1,0,21,Female,,Not Hispanic or Latino,['Asian'],Yes,Very well,No,No
mturk,cweobvm4evs54h8932qi6kqj,20.0,4,0,32,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,cwjn0tx0m76gm35d8f4jnxrq,4.8,1,0,34,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,dbuiumbyfl1ma1h69ta20xw8,6.4,1,0,48,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,dkfxcqyznu2etu3ycixgpuct,9.1,1,0,25,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,e1zp3dh9u2801k50qm9h97c1,4.7,1,0,30,Male,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,e3qgdoddsuhvnumamuxze5fo,10.4,1,1,37,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,e8jii58m72v5f48f2rvcju86,8.6,1,1,36,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,elw3bumjdsy00i3eny567iz0,5.6,1,0,35,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,f413rfthchh1liluwockcj93,12.4,1,0,65,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,f4wl4bmtithmjc70e5p02q4q,6.3,3,0,41,Male,,Not Hispanic or Latino,['Asian'],Yes,Very well,Yes,No
mturk,fexsj0u5oib0e90p5kvm0lal,6.4,1,0,48,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,fl0bey18x3e1awvawxjz06jf,10.7,1,0,32,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,fmivxe7rg2s9ylzoqntzivua,6.2,1,1,32,Male,,Hispanic or Latino,['White'],Yes,Very well,Yes,Yes
mturk,fy3568ynzims1sa778zhdgsj,6.7,1,0,40,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,g0hcri7lt06it7zaxn7bdehy,8.8,1,1,56,Female,,Not Hispanic or Latino,"['Native Hawaiian or other Pacific Islander', 'White']",Yes,Very well,No,No
mturk,g93kv8yzmln3bk1vikjphvig,12.6,11,1,33,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,gb9l1rxvfwpsridpzj2phab0,9.8,5,2,40,Male,,Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,gi5el1yqgg66eawzpbt2cug6,7.7,1,0,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,gruwe2az316sg0lrtz6mop4m,13.0,2,1,32,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,h1pemdlnh3c9vhbgryg1ixhn,6.8,1,0,29,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,h2ob40i8w8dt2pnbe0fjyz69,6.1,1,0,38,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,hat45nuw60i6qp17myltiq6e,11.1,6,0,52,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,hcikwtzf80rybffjd4nzmcqn,7.7,1,0,37,Female,,Not Hispanic or Latino,['American Indian/Alaska Native'],Yes,Very well,No,No
mturk,hjga6ro8xdcijnzxcabiekgh,5.6,1,0,32,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,hp22ihu8hgb4l5p0ocf695wh,10.2,1,0,39,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,hp9jlhcupmuyhjt2v5kzyeyo,15.9,15,0,49,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,icgpg7hk8l4t8vf3fi5rwhpy,8.6,2,0,39,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,Yes
mturk,iij7l7ztcavt3v3b8beljv40,21.9,4,0,57,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,ilccg6au6ebu6vrvwcnsxvnp,5.1,1,0,24,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,j49ycui0iz38y7r8xtr8tnna,7.8,1,0,40,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,j5uig6vo0a3bq4tw72necwg5,6.8,1,0,34,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,jyqbceyvrsxtbtis6813ecuq,7.3,1,0,46,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,k266fuoev3tmaxz85c4l07j7,17.3,34,1,45,Female,,Hispanic or Latino,['White'],Yes,Very well,Yes,Yes
mturk,kz2mnejtguvxh70ucjcunti8,8.0,1,0,40,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,l768h0oa3rsy0s30wy81gx7w,9.0,3,1,54,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,lfmnxogaj6os5ptjy6jcrdx5,6.7,1,0,30,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,lq0d2xsr43y3la4p6u2kw6dk,12.1,2,0,40,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,lrbgqwdhc5j9d3cfmhgrwfy1,7.5,1,0,56,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,m94kxuxvt80yh510yh7slut7,11.0,1,2,33,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,mb5e0hve2rlscxyhkntk34bl,6.3,1,7,60,Male,,Hispanic or Latino,['White'],Yes,Well,Yes,Yes
mturk,mc9b0kvhdjz7jqifqhgajsyr,7.9,1,0,39,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,mynywo837risvkfygi19hhpg,6.4,1,0,42,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,n29vff3xy758kc4si86avrjk,16.2,1,1,50,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,nf8od7h3v3autbl7bobc44vj,17.7,6,0,25,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,ngpbl2m7v35qr23mxqg4zq6j,9.6,2,0,19,Male,,Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,nk20nova3ldcu67y76d1t9jz,8.8,1,0,65,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,ny6aiki69pl2sa6bs4po6ig5,16.6,5,0,33,Male,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,o1a5ftr9a4e138psg4vt96xo,13.0,2,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Well,Yes,Yes
mturk,o1vx5thxb89l44xmoqh1wwz0,8.8,1,0,45,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,oc0019i87h6mkoth39vmedqq,6.7,2,0,38,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,ofcrkm8mve7t3y81h2ahi6tr,23.3,2,0,34,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,pbe1z8nw3u49kut6yzpm5d8d,8.0,1,0,26,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,phbhdjtlsux8o4b6lw205gdn,5.7,1,0,39,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,pips94le21jq08pesfaiefxd,8.1,2,0,25,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,pnmept0z8agaln6bqziozweo,11.5,1,0,52,Female,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,pwjlt47u6xaxkcx5xnxonxjy,12.8,2,0,31,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,qhmczq0e1c0s4t3mpthy0kan,5.7,3,1,28,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,Yes
mturk,qryxvy9232jetvwgtops3qjw,6.4,2,0,30,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,No,No
mturk,req395sg5aaa99tgui0irfk8,17.5,8,0,30,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,rvbvs8wupqk0cepnaw1go9bs,7.4,1,0,58,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,s00v1x1d54te4umlyvvwaic6,7.4,2,0,45,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,s6skqzwsxbnuallv93zxt728,8.3,4,0,45,Male,,Not Hispanic or Latino,['White'],Yes,Well,No,No
mturk,szygpouygrmb7vi2zvcsi7kj,9.5,1,3,62,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,tbi53v4723zampua525gigey,11.6,4,1,35,Male,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,Yes
mturk,tcbpf1kmvs92g8t2x5iowvqs,8.7,3,0,34,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,tlw8dxp34gf5zt4nfb7yftnf,8.1,1,0,36,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,tw1nzqjjixjzlwy9kc1t7qdu,6.6,2,0,33,Male,,Rather not say,['White'],Yes,Very well,Yes,No
mturk,us4jynu3a76tfb7zh5erygr0,7.7,4,1,29,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,v282ua4fcihshurm6znabfd3,14.5,15,0,30,Male,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,Yes
mturk,w4ascja5gszgs3ox6eh471me,15.2,25,1,30,Male,,Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,waigs5rf1gkl2y4f6yt2la5q,8.9,1,0,32,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,wdsdynq3ht0uipzelqp7g0xd,9.2,3,1,39,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,x12oo9pn58e61fflukvug2mr,7.5,1,0,29,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,xe6oqx37xdawxlzrgixjkrxn,6.6,1,0,54,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,y3o44ojrgzutttr3noil3v6m,9.4,1,1,34,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,ycz8oq9t09kjdd31e6iws4zh,7.7,1,0,34,Female,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
mturk,yr5vu6xys2fnolxie1e30c7h,6.5,1,0,32,Female,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,z2y2avzhhdgfqg8idm03titm,8.2,1,0,29,Female,,Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,z4quosqgyjnj8vmg4rc84q3i,7.2,1,0,36,Female,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,zaz4ydbrsd4x6rstq0t1d95s,19.9,15,0,65,Male,,Not Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,zhyatjv91vue1ejply55efv6,9.3,8,1,32,Male, ,Hispanic or Latino,['White'],Yes,Very well,No,No
mturk,zwbaaowabh4qdkku0tqsmyc7,12.2,2,1,54,Male,,Not Hispanic or Latino,['White'],Yes,Very well,Yes,No
mturk,zwmgj98ty8oq9j77mhqho8gx,12.5,2,0,34,Male,,Not Hispanic or Latino,['Black or African American'],Yes,Very well,Yes,No
